Id,Start time,Completion time,Email,"Have you worked with transformer architectures in at least one of the following ways - training, fine-tuning, inference, debugging, or evaluation?","Are you currently enrolled in a course taught by the lead researcher (Sigma Jahan), or are you directly supervised or employed by them?","You are invited to participate in a study by Sigma Jahan, a PhD student in Computer Science at Dalhousie University, supervised by Dr. Masud Rahman. This study examines how practitioners make debuggin",Which best describes your current role?,How many years of machine learning or deep learning experience do you have?,Have you debugged failures in transformer models before?,I understand and agree,"Based on the Scenario 1: Baseline, what repair action would you try first?",How confident are you in that choice?.Agreement,Approximately how long did you spend on this scenario?.Approximate time,"Based on the Scenario 2: Baseline + DEFault++, what repair action would you try first?",How confident are you in that choice?.Agreement1,Approximately how long did you spend on this scenario?.Approximate time1,"Based on the Scenario 3 - Baseline, what repair action would you try first?",How confident are you in that choice?.Agreement4,Approximately how long did you spend on this scenario?.Approximate time4,"Based on the Scenario 4 : Baseline + DEFault++, what repair action would you try first?",How confident are you in that choice?.Agreement3,Approximately how long did you spend on this scenario?.Approximate time3,Indicate your agreement with each statement.The DEFault++ output was easy to understand.,Indicate your agreement with each statement.The DEFault++ output helped me decide what repair to try first.,Indicate your agreement with each statement.I would use a tool like this in practice.,Which condition better supported your debugging decision?,Which condition felt faster?
1,4/10/2026 0:51,4/10/2026 1:13,anonymous,Yes,No,Yes,Graduate student;Research assistant;,3 to 5 years,Yes,Yes,Rebuild the cached causal masking logic using the true query and key positions at each generation step.,Moderately confident,3-5 minutes,Recompute relative position distances from the true token positions when cached generation is active.,Confident,3-5 minutes,"Write the current token into the cache first. Save the current token's key-value vectors into the stored state before computing attention and prediction scores, so the model can attend to all tokens including the current one.",Confident,1-2 minutes,Correct the layer-selection condition so the local attention mode is applied to the intended layers.,Very confident,Less than a minute,Strongly agree,Strongly agree,Strongly agree,DEFault++ assisted,DEFault++ assisted
2,4/10/2026 2:16,4/10/2026 2:21,anonymous,Yes,No,Yes,Industry practitioner,3 to 5 years,No,Yes,Fix the position encoding for cached decoding. Recalculate position-based attention adjustments (such as rotary embeddings or relative position bias) using the true token positions rather than incorrect cached positions.,Confident,1-2 minutes,"Reorder the scaling step. Move the attention-score scaling (dividing by the square root of head dimension) to happen after the position-dependent term is added, not before.",Slightly confident,3-5 minutes,Fix position encoding for cached steps. Recalculate position-based attention adjustments using true absolute token positions instead of cached positions.,Slightly confident,1-2 minutes,Fix position tracking in the cache for long sequences. Rebuild how token positions are tracked in the saved state when the input is very long.,Moderately confident,3-5 minutes,Agree,Agree,Strongly agree,DEFault++ assisted,About the same
3,4/10/2026 3:39,4/10/2026 4:05,anonymous,Yes,No,Yes,Industry practitioner,Less than 1 year,No,Yes,Fix the causal mask for cached decoding. Rebuild the mask so it uses the correct positions for both the new token (query) and the stored tokens (keys) at each step. The causal mask controls which tokens the model is allowed to look at.,Moderately confident,3-5 minutes,"Fix position distances for cached decoding. Recalculate how far apart tokens are using their true positions in the sequence, rather than stale positions stored in the cache.",Moderately confident,3-5 minutes,Fix position encoding for cached steps. Recalculate position-based attention adjustments using true absolute token positions instead of cached positions.,Moderately confident,3-5 minutes,Fix the layer-selection condition. Correct the logic that decides which layers use local attention so it matches the intended configuration.,Moderately confident,3-5 minutes,Agree,Strongly agree,Strongly agree,About the same,DEFault++ assisted
4,4/10/2026 7:47,4/10/2026 7:54,anonymous,Yes,No,Yes,Research assistant;Industry practitioner,3 to 5 years,Yes,Yes,Fix the causal mask for cached decoding. Rebuild the mask so it uses the correct positions for both the new token (query) and the stored tokens (keys) at each step. The causal mask controls which tokens the model is allowed to look at.,Confident,3-5 minutes,"Fix position distances for cached decoding. Recalculate how far apart tokens are using their true positions in the sequence, rather than stale positions stored in the cache.",Very confident,3-5 minutes,"Write the current token into the cache first. Save the current token's key-value vectors into the stored state before computing attention and prediction scores, so the model can attend to all tokens including the current one.",Confident,1-2 minutes,Fix the layer-selection condition. Correct the logic that decides which layers use local attention so it matches the intended configuration.,Very confident,1-2 minutes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Baseline,Baseline
5,4/10/2026 8:06,4/10/2026 8:28,anonymous,Yes,No,Yes,Industry practitioner,3 to 5 years,Yes,Yes,Fix the position encoding for cached decoding. Recalculate position-based attention adjustments (such as rotary embeddings or relative position bias) using the true token positions rather than incorrect cached positions.,Confident,1-2 minutes,"Fix position distances for cached decoding. Recalculate how far apart tokens are using their true positions in the sequence, rather than stale positions stored in the cache.",Moderately confident,3-5 minutes,"Write the current token into the cache first. Save the current token's key-value vectors into the stored state before computing attention and prediction scores, so the model can attend to all tokens including the current one.",Confident,1-2 minutes,Fix position tracking in the cache for long sequences. Rebuild how token positions are tracked in the saved state when the input is very long.,Confident,3-5 minutes,Agree,Agree,Agree,DEFault++ assisted,DEFault++ assisted
6,4/10/2026 20:30,4/10/2026 20:57,anonymous,Yes,No,Yes,Research assistant,More than 5 years,Yes,Yes,Fix the position encoding for cached decoding. Recalculate position-based attention adjustments (such as rotary embeddings or relative position bias) using the true token positions rather than incorrect cached positions.,Confident,1-2 minutes,"Fix position distances for cached decoding. Recalculate how far apart tokens are using their true positions in the sequence, rather than stale positions stored in the cache.",Very confident,1-2 minutes,Fix position encoding for cached steps. Recalculate position-based attention adjustments using true absolute token positions instead of cached positions.,Moderately confident,3-5 minutes,Fix the layer-selection condition. Correct the logic that decides which layers use local attention so it matches the intended configuration.,Very confident,Less than a minute,Agree,Strongly agree,Strongly agree,DEFault++ assisted,DEFault++ assisted
7,4/11/2026 14:24,4/11/2026 14:29,anonymous,Yes,No,Yes,Industry practitioner,1 to 2 years,No,Yes,Fix the causal mask for cached decoding. Rebuild the mask so it uses the correct positions for both the new token (query) and the stored tokens (keys) at each step. The causal mask controls which tokens the model is allowed to look at.,Very confident,1-2 minutes,"Fix position distances for cached decoding. Recalculate how far apart tokens are using their true positions in the sequence, rather than stale positions stored in the cache.",Confident,3-5 minutes,"Write the current token into the cache first. Save the current token's key-value vectors into the stored state before computing attention and prediction scores, so the model can attend to all tokens including the current one.",Confident,3-5 minutes,Fix the layer-selection condition. Correct the logic that decides which layers use local attention so it matches the intended configuration.,Confident,3-5 minutes,Agree,Agree,Agree,DEFault++ assisted,DEFault++ assisted
8,4/11/2026 19:13,4/11/2026 19:23,anonymous,Yes,No,Yes,Industry practitioner,1 to 2 years,Yes,Yes,Fix the causal mask for cached decoding. Rebuild the mask so it uses the correct positions for both the new token (query) and the stored tokens (keys) at each step. The causal mask controls which tokens the model is allowed to look at.,Very confident, 5-10 minutes,"Fix position distances for cached decoding. Recalculate how far apart tokens are using their true positions in the sequence, rather than stale positions stored in the cache.",Confident,3-5 minutes,"Write the current token into the cache first. Save the current token's key-value vectors into the stored state before computing attention and prediction scores, so the model can attend to all tokens including the current one.",Confident,3-5 minutes,Fix the layer-selection condition. Correct the logic that decides which layers use local attention so it matches the intended configuration.,Very confident,3-5 minutes,Strongly agree,Strongly agree,Agree,DEFault++ assisted,DEFault++ assisted
9,4/11/2026 23:13,4/11/2026 23:19,anonymous,Yes,No,Yes,Research assistant;Industry practitioner;Graduate student,3 to 5 years,Yes,Yes,Adjust training hyperparameters. Lower the learning rate and lengthen warmup before evaluating cached generation.,Confident, 5-10 minutes,"Reorder the scaling step. Move the attention-score scaling (dividing by the square root of head dimension) to happen after the position-dependent term is added, not before.",Confident, 5-10 minutes,"Write the current token into the cache first. Save the current token's key-value vectors into the stored state before computing attention and prediction scores, so the model can attend to all tokens including the current one.",Confident,More than 10 minutes,Fix the layer-selection condition. Correct the logic that decides which layers use local attention so it matches the intended configuration.,Confident, 5-10 minutes,Agree,Strongly agree,Agree,DEFault++ assisted,DEFault++ assisted
10,4/12/2026 14:14,4/12/2026 14:39,anonymous,Yes,No,Yes,Graduate student,1 to 2 years,Yes,Yes,Fix the causal mask for cached decoding. Rebuild the mask so it uses the correct positions for both the new token (query) and the stored tokens (keys) at each step. The causal mask controls which tokens the model is allowed to look at.,Moderately confident,1-2 minutes,"Fix position distances for cached decoding. Recalculate how far apart tokens are using their true positions in the sequence, rather than stale positions stored in the cache.",Moderately confident,3-5 minutes,"Write the current token into the cache first. Save the current token's key-value vectors into the stored state before computing attention and prediction scores, so the model can attend to all tokens including the current one.",Confident,1-2 minutes,Fix the layer-selection condition. Correct the logic that decides which layers use local attention so it matches the intended configuration.,Confident,1-2 minutes,Agree,Strongly agree,Agree,About the same,DEFault++ assisted
